fit_id,validation,holdout_year,model_id,orchard_id,threshold,spec,inner_MAE_days,training_years,fit_season_ids,selection_mode
R3_regional_sensitivity_P1_P1-D2_LOYO_2026,LOYO,2026,P1-D2,luhong,17.85,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 20}",17.3,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_rolling_2024,rolling,2024,P1-B0,bannei,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",0,2022;2023,bannei_2022;bannei_2023,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_rolling_2024,rolling,2024,P1-B0,hongming,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",0,2022;2023,hongming_2022;hongming_2023,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_rolling_2024,rolling,2024,P1-B0,luhong,128,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",0,2022;2023,luhong_2022;luhong_2023,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_rolling_2024,rolling,2024,P1-D1,bannei,71,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.666666667,2022;2023,bannei_2022;bannei_2023,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_rolling_2024,rolling,2024,P1-D1,hongming,61,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.666666667,2022;2023,hongming_2022;hongming_2023,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_rolling_2024,rolling,2024,P1-D1,luhong,38.5,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",5.666666667,2022;2023,luhong_2022;luhong_2023,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_rolling_2024,rolling,2024,P1-D2,bannei,152.6,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",26.5,2022;2023,bannei_2022;bannei_2023,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_rolling_2024,rolling,2024,P1-D2,hongming,117.95,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",26.5,2022;2023,hongming_2022;hongming_2023,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_rolling_2024,rolling,2024,P1-D2,luhong,47.8,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",26.5,2022;2023,luhong_2022;luhong_2023,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_rolling_2025,rolling,2025,P1-B0,bannei,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",6.111111111,2022;2023;2024,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_rolling_2025,rolling,2025,P1-B0,hongming,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",6.111111111,2022;2023;2024,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_rolling_2025,rolling,2025,P1-B0,luhong,128,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",6.111111111,2022;2023;2024,luhong_2022;luhong_2023;luhong_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_rolling_2025,rolling,2025,P1-D1,bannei,74,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",3.888888889,2022;2023;2024,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_rolling_2025,rolling,2025,P1-D1,hongming,63,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",3.888888889,2022;2023;2024,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_rolling_2025,rolling,2025,P1-D1,luhong,38,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",3.888888889,2022;2023;2024,luhong_2022;luhong_2023;luhong_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_rolling_2025,rolling,2025,P1-D2,bannei,123,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",16.44444444,2022;2023;2024,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_rolling_2025,rolling,2025,P1-D2,hongming,99.8,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",16.44444444,2022;2023;2024,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_rolling_2025,rolling,2025,P1-D2,luhong,33,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 22}",16.44444444,2022;2023;2024,luhong_2022;luhong_2023;luhong_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_rolling_2026,rolling,2026,P1-B0,bannei,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",6.4,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_rolling_2026,rolling,2026,P1-B0,hongming,117,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",6.4,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-B0_rolling_2026,rolling,2026,P1-B0,luhong,130.5,"{""kind"": ""duration"", ""model_id"": ""P1-B0""}",6.4,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_rolling_2026,rolling,2026,P1-D1,bannei,74,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",4.7,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_rolling_2026,rolling,2026,P1-D1,hongming,63,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",4.7,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D1_rolling_2026,rolling,2026,P1-D1,luhong,40,"{""kind"": ""cold_count_day"", ""model_id"": ""P1-D1"", ""temperature"": 22, ""variable"": ""tmin_c""}",4.7,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_rolling_2026,rolling,2026,P1-D2,bannei,68.1,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 20}",17.3,2022;2023;2024;2025,bannei_2022;bannei_2023;bannei_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_rolling_2026,rolling,2026,P1-D2,hongming,54.7,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 20}",17.3,2022;2023;2024;2025,hongming_2022;hongming_2023;hongming_2024,nested_training_year_cv
R3_regional_sensitivity_P1_P1-D2_rolling_2026,rolling,2026,P1-D2,luhong,17.85,"{""kind"": ""cold_degree_day"", ""model_id"": ""P1-D2"", ""temperature"": 20}",17.3,2022;2023;2024;2025,luhong_2022;luhong_2023;luhong_2024;luhong_2025,nested_training_year_cv
